date,cases,recoveries,deaths,outcomes_total
1976-08-25,1,0,0,0
1976-08-26,0,0,0,0
1976-08-27,0,0,0,0
1976-08-28,0,0,0,0
1976-08-29,0,0,0,0
1976-08-30,0,0,0,0
1976-08-31,0,0,0,0
1976-09-01,1,0,0,0
1976-09-02,1,0,0,0
1976-09-03,1,0,0,0
1976-09-04,4,0,0,0
1976-09-05,1,0,0,0
1976-09-06,1,0,0,0
1976-09-07,3,0,0,0
1976-09-08,2,0,1,1
1976-09-09,7,1,2,3
1976-09-10,9,0,1,1
1976-09-11,4,0,3,3
1976-09-12,8,0,1,1
1976-09-13,9,0,2,2
1976-09-14,8,0,1,1
1976-09-15,9,0,8,8
1976-09-16,6,0,4,4
1976-09-17,6,0,3,3
1976-09-18,3,0,5,5
1976-09-19,8,0,8,8
1976-09-20,10,0,6,6
1976-09-21,5,0,6,6
1976-09-22,16,0,10,10
1976-09-23,12,0,3,3
1976-09-24,11,1,7,8
1976-09-25,11,0,8,8
1976-09-26,7,0,11,11
1976-09-27,7,0,7,7
1976-09-28,4,1,13,14
1976-09-29,4,0,12,12
1976-09-30,3,0,9,9
1976-10-01,7,0,9,9
1976-10-02,2,1,7,8
1976-10-03,3,0,6,6
1976-10-04,8,0,8,8
1976-10-05,5,0,6,6
1976-10-06,7,1,2,3
1976-10-07,5,1,6,7
1976-10-08,2,0,4,4
1976-10-09,3,0,3,3
1976-10-10,4,1,2,3
1976-10-11,3,0,6,6
1976-10-12,6,0,4,4
1976-10-13,2,1,6,7
1976-10-14,1,0,7,7
1976-10-15,0,0,7,7
1976-10-16,0,1,2,3
1976-10-17,0,1,4,5
1976-10-18,1,0,1,1
1976-10-19,1,1,1,2
1976-10-20,2,0,4,4
1976-10-21,0,0,1,1
1976-10-22,0,0,1,1
1976-10-23,0,0,0,0
1976-10-24,1,0,0,0
1976-10-25,0,0,0,0
1976-10-26,0,0,2,2
1976-10-27,0,0,0,0
1976-10-28,0,0,2,2
1976-10-29,0,0,1,1
1976-10-30,0,0,0,0
1976-10-31,0,0,0,0
1976-11-01,0,0,0,0
1976-11-02,0,0,0,0
1976-11-03,0,0,0,0
1976-11-04,0,0,0,0
1976-11-05,0,0,1,1
