date,cases,deaths
2014-03-22,49,29
2014-03-24,86,59
2014-03-25,86,60
2014-03-26,86,62
2014-03-27,103,66
2014-03-31,114,70
2014-04-01,130,82
2014-04-02,135,88
2014-04-07,163,102
2014-04-10,169,110
2014-04-17,209,131
2014-04-21,215,138
2014-04-23,220,145
2014-04-30,233,155
2014-05-05,243,164
2014-05-14,245,166
2014-05-23,270,183
2014-05-27,309,200
2014-06-02,354,208
2014-06-05,438,231
2014-06-10,474,252
2014-06-18,528,337
2014-06-24,599,338
2014-07-02,759,467
2014-07-08,844,518
2014-07-10,888,539
2014-07-15,964,603
2014-07-18,1048,632
2014-07-20,1093,660
2014-07-23,1201,672
2014-07-27,1323,729
2014-07-30,1440,826
2014-08-01,1603,887
2014-08-04,1711,932
2014-08-06,1779,961
2014-08-09,1848,1013
2014-08-11,1975,1069
2014-08-13,2127,1145
2014-08-16,2240,1229
2014-08-18,2473,1350
2014-08-20,2615,1427
2014-08-26,3069,1552
2014-08-31,3707,1848
2014-09-03,4001,2089
2014-09-07,4390,2226
